2409:8720:2005:0010:0000:0000:0000:0000	无锡市人民政府办公室(无锡市政府研究室)
2409:8720:1900:02C1:* 新吴区贵有家州羊肉粉店
2409:8720:1900:02C2:* 新吴胖殷殷餐饮店（个体工商户）
2409:8720:1900:02C3:* 无锡云悦酒店管理有限公司
2409:8720:1900:02C4:* 无锡云悦酒店管理有限公司
2409:8720:1900:02C5:* 无锡扬子颐养中心
2409:8720:1900:02C6:* 新吴区真味啉韩式餐饮店（个体工商户）
2409:8720:1900:02C7:* 新吴区新成餐饮店（个体工商户）
2409:8720:1900:02C8:* 新吴区今日咖啡馆
2409:8720:1900:02C9:* 江苏巴奴毛肚火锅有限公司
2409:8720:1900:02CA:* 新吴霸茶要疯奶茶店
2409:8720:1900:02CB:* 新吴区上月餐饮店（个体工商户）
2409:8720:1900:02CC:* 无锡永达东方汽车销售服务有限公司
2409:8720:1900:02CD:* 新吴区曦文武餐饮店（个体工商户）
2409:8720:1900:02CE:* 新吴区熔岩咖啡店
2409:8720:1900:02CF:* 新吴区家湘人餐饮店（个体工商户）
2409:8720:1900:02D0:* 新吴区伊穆香牛肉面店
2409:8720:1900:02D1:* 新吴区二爽点心店
2409:8720:1900:02D2:* 无锡爱贝加思母婴服务有限公司
2409:8720:1900:02D3:* 新吴区周红春包子店
2409:8720:1900:0300:* 锡山区东亭合力力羊肉串店商务光宽带
2409:8720:1900:0301:* 锡山区东亭陈利熏烧卤菜店
2409:8720:1900:0302:* 锡山区东亭藏煲阁煲仔饭店
2409:8720:1900:0303:* 锡山区东亭墨西餐饮店
2409:8720:1900:0304:* 新吴区满哥小吃店
2409:8720:1900:0305:* 锡山区东亭桥根头面馆
2409:8720:1900:0306:* 锡山区楚物罐烘焙店
2409:8720:1900:0307:* 锡山区闯子餐饮店
2409:8720:1900:0308:* 锡山区东亭同富餐饮店
2409:8720:1900:0309:* 锡山区东亭稻田蛙餐饮店
2409:8720:1900:030A:* 锡山区东亭瞒轩餐饮店
2409:8720:1900:030B:* 新吴区昱鼎小吃店
2409:8720:1900:030C:* 锡山区东亭淮粹面馆
2409:8720:1900:030D:* 锡山区东亭晨糯小吃店
2409:8720:1900:030E:* 锡山区东亭食味欢餐饮店
2409:8720:1900:030F:* 新吴区思彤餐饮店
2409:8720:1900:0310:* 新吴巷巷小吃店
2409:8720:1900:0311:* 新吴区葛大富吴餐饮店
2409:8720:1900:0312:* 新吴区红黄绿煎饼店
2409:8720:1900:0313:* 新吴区八两饭堂餐饮店
2409:8720:1900:0314:* 新吴区龙火飞小吃店
2409:8720:1900:0315:* 新吴区王子群沙县小吃店
2409:8720:1900:0316:* 新吴佰卤汇餐饮店
2409:8720:1900:0317:* 国家税务总局无锡市锡山区税务局
2409:8720:1900:0318:* 新吴区七禧餐饮店
2409:8720:1900:0319:* 新吴区轻酵烘焙蛋糕店
2409:8720:1900:031A:* 新吴区进谷福餐饮店
2409:8720:1900:031B:* 锡山区东亭舌上领鲜牛蛙店
2409:8720:1900:031C:* 无锡市新吴区江溪幼儿园
2409:8720:1900:031D:* 无锡市新吴区江溪幼儿园
2409:8720:1900:031E:* 无锡市新吴区江溪幼儿园
2409:8720:1900:031F:* 无锡市新吴区江溪幼儿园
2409:8720:1900:0320:* 无锡市皖江建设工程有限公司(新建兴昌路汽车商务商贸楼)
2409:8720:1900:0321:* 锡山区东亭味觉日记蛋糕烘焙店
2409:8720:1900:0322:* 无锡兴达客运有限公司
2409:8720:1900:0323:* 无锡钰健缘食品有限公司
2409:8720:1900:0324:* 无锡市新吴区人民政府江溪街道办事处(副集团）
2409:8720:1900:0325:* 无锡市新吴区景渎幼儿园第一实验园
2409:8720:1900:0326:* 无锡市新吴区景渎幼儿园第一实验园
2409:8720:1900:0327:* 无锡市新吴区景渎幼儿园第一实验园
2409:8720:1900:0328:* 无锡市新吴区景渎幼儿园第一实验园
2409:8720:1900:0329:* 新吴区张哥卤滋味卤菜店
2409:8720:1900:032A:* 新吴区优优餐饮店
2409:8720:1900:032B:* 新吴区小川麻辣烫店
2409:8720:1900:032C:* 锡山区东亭美妙食刻煎饼店
2409:8720:1900:032D:* 锡山区煲呈香小吃店
2409:8720:1900:032E:* 新吴区晓潘卤菜熟食馆
2409:8720:1900:032F:* 新吴区哇噻炸鸡店
2409:8720:1900:0330:* 锡山区东亭街角小吃店
2409:8720:1900:0331:* 新吴区王杰餐饮店
2409:8720:1900:0332:* 锡山区荣尚餐饮店（个体工商户）
2409:8720:1900:0333:* 新吴区利亚餐饮店
2409:8720:1900:0334:* 新吴区潮林鲜餐饮店
2409:8720:1900:0335:* 新吴区嘉邸熙湘宴餐饮店
2409:8720:1900:0336:* 锡山区东亭奉锡手机店
2409:8720:1900:0337:* 锡山区东亭东汉脆皮鸡米饭店
2409:8720:1900:0338:* 锡山区古惑烧烤店
2409:8720:1900:0339:* 新吴区早一点餐饮经营店(个体工商户)
2409:8720:1900:033A:* 无锡徽香餐饮有限公司
2409:8720:1900:033B:* 新吴区铭玮咖啡馆（个体工商户）
2409:8720:1900:033C:* 中国人寿财产保险股份有限公司无锡市中心支公司
2409:8720:1900:033D:* 新吴区欢志餐饮店（个体工商户）
2409:8720:1900:033E:* 新吴区景沐流心三明治小吃店（个体工商户）
2409:8720:1900:033F:* 新吴区顺欣私房菜馆
2409:8720:1900:0340:* 锡山区东亭张义行卤菜店
2409:8720:1900:0341:* 无锡市唯爱培思托管有限公司
2409:8720:1900:0342:* 新吴区钱乖流心三明治小吃店（个体工商户）
2409:8720:1900:0343:* 无锡味正佳餐饮有限公司
2409:8720:1900:0344:* 无锡市红樽荟海鲜酒店有限公司
2409:8720:1900:0345:* 无锡市红樽荟海鲜酒店有限公司
2409:8720:1900:0350:* 新吴区老墨炸鸡店
2409:8720:1900:0360:* 新吴区姜阿姨小吃店
2409:8720:1900:0371:* 新吴区锡蒙餐饮店
2409:8720:1900:0400:* 新吴呆呆的汤餐饮店
2409:8720:1900:0401:* 新区食必思黄焖鸡米饭店
2409:8720:1900:0402:* 无锡市清之韵文化旅游发展有限公司
2409:8720:1900:0403:* 新吴区子麒小吃店
2409:8720:1900:0404:* 新吴区盈家棋牌馆（个体工商户）
2409:8720:1900:0405:* 新吴区洋气食足餐饮店
2409:8720:1900:0500:* 新吴区丽大姐小吃店
2409:8720:1900:0501:* 新吴区首念餐饮店
2409:8720:1900:0502:* 新吴区智萧餐饮店
2409:8720:1900:0503:* 新吴区启程餐饮店
2409:8720:1900:0504:* 新吴区正军烧烤店
2409:8720:1900:0505:* 新吴区秋食记餐饮店
2409:8720:1900:0506:* 新吴区梅村刘哥早餐店
2409:8720:1900:0507:* 新吴区余姐米线小吃店
2409:8720:1900:0508:* 无锡嘉源尚善堂餐饮管理有限公司梅里分公司
2409:8720:1900:0509:* 新吴区沈胖餐饮店
2409:8720:1900:050A:* 新吴区义昊餐饮店
2409:8720:1900:050B:* 新吴区上吕水煎包店
2409:8720:1900:050C:* 新吴区江溪来了个烤猪蹄店
2409:8720:1900:050D:* 南凌科技股份有限公司
2409:8720:1900:050E:* 新吴区小石猴铁锅焖面店
2409:8720:1900:050F:* 新吴区捷芬餐饮店
2409:8720:1900:0510:* 新吴区谷香记石磨肠粉店
2409:8720:1900:0520:* 新吴区方林龙小吃店
2409:8720:1900:0521:* 新吴区好汉锅盔小吃店
2409:8720:1900:0522:* 无锡朝阳医药连锁有限公司
2409:8720:1900:0523:* 新吴区马占海餐饮店
2409:8720:1900:0524:* 新吴区炎炎焱烧烤店
2409:8720:1900:0526:* 新吴区其澄乐重庆小面店
2409:8720:1900:0527:* 苏州市朗电机器人有限公司
2409:8720:1900:0528:* 无锡地坤厚餐饮管理有限责任公司
2409:8720:1900:0529:* 新吴区吕国良巴比馒头店
2409:8720:1900:052A:* 新吴区郑玉庆小吃店
2409:8720:1900:052B:* 新吴区往日依旧串串小吃店
2409:8720:1900:052C:* 新吴区渺柒餐饮店
2409:8720:1900:052D:* 新吴区晟鑫海鲜烧烤店
2409:8720:1900:052E:* 新吴区禧甜坊奶茶店
2409:8720:1900:052F:* 新吴区碳姑娘餐饮店
2409:8720:1900:0530:* 无锡市青和不锈钢有限公司
2409:8720:1900:0531:* 新吴区松之堂小吃店
2409:8720:1900:0532:* 新吴区员工楼饭店
2409:8720:1900:0533:* 新吴区吉迪酒吧
2409:8720:1900:0534:* 新区相思味菜馆
2409:8720:1900:0535:* 新吴区芃涧有良餐饮店
2409:8720:1900:0536:* 新吴区滨果披萨店
2409:8720:1900:0537:* 无锡韩锅餐饮管理服务有限公司
2409:8720:1900:0538:* 新吴区程爱月熟食店
2409:8720:1900:0539:* 新吴区震银餐饮店
2409:8720:1900:053A:* 新吴区鲁李记餐饮店
2409:8720:1900:053B:* 新吴区特别好餐饮店
2409:8720:1900:053C:* 无锡埃顿保安服务有限公司
2409:8720:1900:053D:* 新吴区食面麦福小吃店
2409:8720:1900:053E:* 新吴区雯竹东北饼店
2409:8720:1900:053F:* 新吴区山水一城美味饺东餐饮店
2409:8720:1900:0540:* 新吴区小糊涂炸串店
2409:8720:1900:0541:* 无锡得宇新材料有限公司
2409:8720:1900:0542:* 新吴区殷娟小吃店
2409:8720:1900:0543:* 新吴区鼎味阁老火锅店
2409:8720:1900:0544:* 新吴区沈利华海鲜烧烤小吃店
2409:8720:1900:0545:* 新吴区祥客基小吃店
2409:8720:1900:0546:* 新吴区郭大侠餐饮店
2409:8720:1900:0547:* 新吴区程枝小吃店
2409:8720:1900:0548:* 无锡市军刚建设工程有限公司
2409:8720:1900:0549:* 新区曾世高天津包子店
2409:8720:1900:054A:* 无锡纵云体育赛事策划有限公司
2409:8720:1900:054B:* 新吴区乐滋客小吃店
2409:8720:1900:054C:* 新吴区辣小宝串串香店
2409:8720:1900:054D:* 新吴区新尚汇水果店
2409:8720:1900:054E:* 新吴区兆利隆小吃店
2409:8720:1900:054F:* 新吴区沈辉烧饼店
2409:8720:1900:0550:* 新吴区钱多哆餐饮店
2409:8720:1900:0551:* 新吴区汪德文餐馆
2409:8720:1900:0552:* 新吴区巴鼎冒菜店
2409:8720:1900:0553:* 新吴区小赛花小吃店
2409:8720:1900:0554:* 新吴区喜鲜门海鲜火锅店
2409:8720:1900:0555:* 新吴区阿椒餐饮店
2409:8720:1900:0556:* 新吴区汤派风味炸鸡店
2409:8720:1900:0557:* 新吴区木与晚餐饮店
2409:8720:1900:0558:* 新吴区小惠福串门炸鸡店
2409:8720:1900:0559:* 世纪二千网络科技有限公司
2409:8720:1900:055A:* 无锡佑之苏餐饮管理有限公司
2409:8720:1900:055B:* 新吴区阿胖小吃店
2409:8720:1900:055C:* 新吴区辉姐小吃店
2409:8720:1900:055D:* 新吴区钱垚品餐饮店
2409:8720:1900:055E:* 新吴区耀子饼店
2409:8720:1900:055F:* 新吴区语雪餐饮店
2409:8720:1900:0560:* 新吴区巷遇烧烤店
2409:8720:1900:0561:* 新吴区樱屋日本料理店
2409:8720:1900:0562:* 新吴区中邦物炸蛋饼店
2409:8720:1900:0563:* 新吴区随心所欲餐饮店
2409:8720:1900:0564:* 新吴区桥庄砂锅小吃店
2409:8720:1900:0565:* 新吴区二妮罐罐馒头店
2409:8720:1900:0566:* 新吴区驴哥餐饮店
2409:8720:1900:0567:* 新吴区比星咖啡店
2409:8720:1900:0568:* 新吴区成辉莱餐饮店
2409:8720:1900:0569:* 新吴区晟亿鑫小吃店
2409:8720:1900:056A:* 新吴区茉莉饮品店
2409:8720:1900:056B:* 新吴区伊和盛兰州拉面店
2409:8720:1900:056C:* 新吴区宁刘饮品店
2409:8720:1900:056D:* 新吴区扣英小吃店
2409:8720:1900:056E:* 新吴区阿涌小吃店
2409:8720:1900:056F:* 新吴区刘亚萍炸鸡店
2409:8720:1900:0570:* 新吴区金不换美食店
2409:8720:1900:0571:* 新吴区芳蒲小吃店
2409:8720:1900:0572:* 无锡地心科技有限公司
2409:8720:1900:0573:* 新吴区麻小二地锅鸡店
2409:8720:1900:0574:* 新吴区好恰不餐饮店
2409:8720:1900:0575:* 新吴区揉揉揉揉小吃店
2409:8720:1900:0576:* 新吴区小丁餐饮店
2409:8720:1900:0577:* 新吴区石仟味瓦香鸡餐饮店
2409:8720:1900:0578:* 新吴区杜磊汉堡店
2409:8720:1900:0579:* 朗新智城科技有限公司
2409:8720:1900:057A:* 新吴区憨哥老火锅店
2409:8720:1900:057B:* 新吴区戚大利餐饮店
2409:8720:1900:057C:* 新吴区鲜多煲餐饮店
2409:8720:1900:057D:* 新吴区张永蕊餐饮店
2409:8720:1900:057E:* 新吴区老三饭包卤肉店
2409:8720:1900:057F:* 新吴区粥粥乐饮食店
2409:8720:1900:0580:* 新吴区味津骨羊架子餐饮店
2409:8720:1900:0581:* 新吴区素瓷传芳气餐饮店
2409:8720:1900:0582:* 无锡市新吴区人民政府旺庄街道办事处(尚东)
2409:8720:1900:0583:* 新吴区牛源味牛肉汤店
2409:8720:1900:0584:* 新吴区朝香阁早餐店
2409:8720:1900:0585:* 新吴区聚朋居小吃店
2409:8720:1900:0586:* 新吴区守礼小吃店
2409:8720:1900:0587:* 新吴区味食轩瓦香鸡米饭店
2409:8720:1900:0588:* 新吴区张长伟小吃店
2409:8720:1900:0589:* 新吴区初晴炸串店
2409:8720:1900:058A:* 新吴区健雪餐饮店
2409:8720:1900:058B:* 新吴区清檬小吃店
2409:8720:1900:058C:* 新吴区拈花一笑棋牌室
2409:8720:1900:058D:* 新区川吉日式西餐厅
2409:8720:1900:058E:* 新吴区平艳奇餐馆
2409:8720:1900:058F:* 新吴区忆禾家小吃店
2409:8720:1900:0590:* 新吴区王孟良美食店
2409:8720:1900:0591:* 新吴区九卡云南过桥米线店
2409:8720:1900:0592:* 新吴区钱大厨老鸭粉丝汤店
2409:8720:1900:0593:* 新吴区韩左左自助烤肉店
2409:8720:1900:0594:* 新吴区伊帕尔烧烤店
2409:8720:1900:0595:* 新吴区小陈小顾满分炸串店
2409:8720:1900:0596:* 新吴区陈大帅餐饮店
2409:8720:1900:0597:* 新吴区海元美餐饮店
2409:8720:1900:0598:* 新吴区轻食悦餐饮店
2409:8720:1900:0599:* 新吴区梁艳餐饮店
2409:8720:1900:059A:* 新吴区阿娜尔罕烧烤店
2409:8720:1900:059B:* 新吴区亦优香卤菜店
2409:8720:1900:059C:* 新吴享饕餐饮店
2409:8720:1900:059D:* 新吴区仇加飞麻辣香锅店
2409:8720:1900:059E:* 新吴区刘于海菜馆
2409:8720:1900:059F:* 无锡宇一精工科技有限公司
2409:8720:1900:05A0:* 新吴区玉哲卤味店
2409:8720:1900:05A1:* 新吴区季福兴炸鸡店
2409:8720:1900:05A2:* 新吴区夜醉烧烤店
2409:8720:1900:05A3:* 新吴区张芸溪小吃店
2409:8720:1900:05A4:* 新吴区彭城餐饮店
2409:8720:1900:05A5:* 新吴区廖培荣小吃店
2409:8720:1900:05A6:* 无锡宝通科技股份有限公司
2409:8720:1900:05A7:* 无锡市方程餐饮管理有限公司
2409:8720:1900:05A8:* 新吴区食锡尚美食店
2409:8720:1900:05A9:* 新吴区食杰尚美食店
2409:8720:1900:05AA:* 新吴区好吃佑来餐饮店
2409:8720:1900:05AB:* 新吴区闻鸡齐舞烤鸡店
2409:8720:1900:05AC:* 新吴区老二炸酱面店
2409:8720:1900:05AD:* 无锡市新吴区泰山路幼儿园
2409:8720:1900:05AE:* 新吴区孙晓颖鸡排奶茶店
2409:8720:1900:05AF:* 新吴区朱祥祥炒饭店
2409:8720:1900:05B0:* 新吴区李超彭浦一炸炸串店
2409:8720:1900:05B1:* 新吴区逸可餐饮店
2409:8720:1900:05B2:* 新吴区元山烤肉店
2409:8720:1900:05B3:* 新吴区樊妈妈烤肉拌饭店
2409:8720:1900:05B4:* 新吴区老北门百佳面饭店
2409:8720:1900:05B5:* 无锡燕奇餐饮有限公司
2409:8720:1900:05B6:* 新吴区余增良小吃店
2409:8720:1900:05B7:* 新吴区凯凯家手工凉皮店
2409:8720:1900:05B8:* 新吴区姜浩奶茶店
2409:8720:1900:05B9:* 无锡正轮贸易有限公司
2409:8720:1900:05BA:* 江扬科技（无锡）有限公司
2409:8720:1900:05BB:* 新吴区时松餐饮店
2409:8720:1900:05BC:* 新吴区袁秀荣小吃店
2409:8720:1900:05BD:* 新吴区安冬小吃店
2409:8720:1900:05BE:* 新吴区赵二旦新疆大盘鸡店
2409:8720:1900:05BF:* 新吴区程美琴小吃店
2409:8720:1900:05C0:* 新吴区成吴华小吃店
2409:8720:1900:05C1:* 新吴区派大星馄饨店
2409:8720:1900:05C2:* 新吴区眼镜羊肉店
2409:8720:1900:05C3:* 新吴区晋三侠烧烤店
2409:8720:1900:05C4:* 新吴区壹格文具店
2409:8720:1900:05C5:* 新吴区久河亭小料理屋
2409:8720:1900:05C6:* 新吴区克起日式肥牛饭店
2409:8720:1900:05C7:* 新吴区洪鲜生秘制炒饭店
2409:8720:1900:05C8:* 新吴区都一可奶茶店
2409:8720:1900:05CD:* 新吴区亿点富小吃店
2409:8720:1900:05CE:* 新吴区顾少排骨店
2409:8720:1900:05CF:* 新吴区铁锤餐饮店
2409:8720:1900:05D0:* 新吴区辰婷鸭血粉丝汤小吃店
2409:8720:1900:05D1:* 新吴区蔺天舒奶茶店
2409:8720:1900:05D2:* 无锡叁伽贰餐饮管理有限公司
2409:8720:1900:05D3:* 新吴区小卤班餐饮店
2409:8720:1900:05D4:* 无锡灵恩机电设备有限公司
2409:8720:1900:05D5:* 新吴区冒大仙小吃店
2409:8720:1900:05D6:* 无锡壬辛合食品有限公司
2409:8720:1900:05D7:* 新吴区梓洋小吃店
2409:8720:1900:05D8:* 新吴区邦锁油酥饼店
2409:8720:1900:05D9:* 新吴区路口饮食店
2409:8720:1900:05DA:* 新吴区好食蕴餐饮店
2409:8720:1900:05DB:* 新吴区大桶鱼餐饮店
2409:8720:1900:05DC:* 新吴区陕一绝羊肉小吃店
2409:8720:1900:05DD:* 江森自控楼宇设备科技（无锡）有限公司
2409:8720:1900:05DF:* 北京百灵鸟餐饮管理有限公司无锡分公司
2409:8720:1900:05E0:* 江森自控楼宇设备科技（无锡）有限公司
2409:8720:1900:05E1:* 新吴区瑞霖餐饮经营店
2409:8720:1900:05E2:* 新吴区吴老幺火锅店
2409:8720:1900:05E3:* 无锡范娜餐饮管理有限公司
2409:8720:1900:05E4:* 无锡市美峰橡胶制品制造有限公司
2409:8720:1900:05E5:* 新吴区巷汁里卤肉饭店
2409:8720:1900:05E6:* 北京百灵鸟餐饮管理有限公司无锡分公司
2409:8720:1900:05E7:* 北京百灵鸟餐饮管理有限公司无锡分公司
2409:8720:1900:05E9:* 北京百灵鸟餐饮管理有限公司无锡分公司
2409:8720:1900:05EA:* 北京百灵鸟餐饮管理有限公司无锡分公司
2409:8720:1900:05EB:* 北京百灵鸟餐饮管理有限公司无锡分公司
2409:8720:1900:05EC:* 新吴区路优易思餐饮店
2409:8720:1900:05ED:* 无锡市江溪城市服务有限公司
2409:8720:1900:05EE:* 新吴区何哲餐饮店
2409:8720:1900:05EF:* 新吴区园小园小吃店
2409:8720:1900:05F0:* 新吴区竹林里餐饮店
2409:8720:1900:05F1:* 新吴区刘永云羊肉馆
2409:8720:1900:05F2:* 无锡栗粟板栗饼有限公司
2409:8720:1900:05F3:* 新吴区牛大哥凉皮店
2409:8720:1900:05F4:* 新吴区锦城餐饮店
2409:8720:1900:05F5:* 新吴区高振小吃店
2409:8720:1900:05F6:* 新吴区波记淮南牛肉汤店
2409:8720:1900:05F7:* 新吴区张氏鸭脖店
2409:8720:1900:05F8:* 无锡埃顿保安服务有限公司
2409:8720:1900:05F9:* 新吴区晋十味缘小吃店
2409:8720:1900:05FA:* 新吴区苗圆干锅店（个体工商户）
2409:8720:1900:05FB:* 新吴区锋利小吃店
2409:8720:1900:05FC:* 新吴区赖培水小吃店（个体工商户）
2409:8720:1900:05FD:* 新吴区芝麻官餐饮店
2409:8720:1900:05FE:* 新吴区大肥龙快餐餐饮店（个体工商户）
2409:8720:1900:05FF:* 新吴区欢姐徐州米线店
2409:8720:1900:0600:* 无锡市硕阳不锈钢有限公司
2409:8720:1900:0601:* 锡山区古月姐姐奶茶饮品店
2409:8720:1900:0602:* 无锡文鑫智能科技有限公司
2409:8720:1900:0603:* 苏州豪斯鲍恩建设工程有限公司
2409:8720:1900:0604:* 锡山区厚桥喜来满小吃店
2409:8720:1900:0605:* 锡山区厚桥丽君餐饮店
2409:8720:1900:0606:* 无锡凌东塑料制品有限公司
2409:8720:1900:0607:* 无锡锦鸿城镇建设有限公司（鸿声家园三期拆迁安置小区工程施工总承包二标段）
2409:8720:1900:0609:* 新吴区永仕小吃店
2409:8720:1900:060A:* 新吴区伴糖小屋烘焙蛋糕店
2409:8720:1900:060B:* 无锡市硕放物业管理有限公司（滨湖）
2409:8720:1900:060C:* 无锡市硕放物业管理有限公司（滨湖）
2409:8720:1900:060D:* 无锡市硕放物业管理有限公司（滨湖）
2409:8720:1900:060E:* 新吴区俏阿郎面馆
2409:8720:1900:060F:* 新吴区润享奶茶店
2409:8720:1900:0610:* 新吴区全天老鸡汤手擀面馆
2409:8720:1900:0611:* 新吴定定波小吃店
2409:8720:1900:0612:* 新吴区少侠烧烤店
2409:8720:1900:0613:* 新吴区木捅渔餐饮店
2409:8720:1900:0614:* 锡山区厚桥韩冯果果餐饮店
2409:8720:1900:0615:* 新吴区博淄烧烤龙虾店
2409:8720:1900:0616:* 新区鸿山鼎福人家饭店
2409:8720:1900:0617:* 罗格朗低压电器（无锡）有限公司
2409:8720:1900:0618:* 新吴区湘里人酸萝卜店
2409:8720:1900:0619:* 中城建第十三工程局有限公司（江苏兰聚科技总部项目）
2409:8720:1900:061A:* 无锡丰裕建筑装饰工程有限公司
2409:8720:1900:061B:* 无锡太阳绿宝科技有限公司
2409:8720:1900:061C:* 无锡市第五建筑工程有限公司
2409:8720:1900:061D:* 无锡市第五建筑工程有限公司
2409:8720:1900:061E:* 无锡市艾力特工程设备有限公司
2409:8720:1900:061F:* 无锡沃可发动机降噪部件有限公司
2409:8720:1900:0620:* 腾达航勤设备（无锡）有限公司
2409:8720:1900:0621:* 无锡宝通科技股份有限公司
2409:8720:1900:0622:* 新吴区鸿山锡福源小吃店
2409:8720:1900:0623:* 中国铁塔股份有限公司无锡市分公司（滨湖自规局项目）
2409:8720:1900:0624:* 中国铁塔股份有限公司无锡市分公司（滨湖自规局项目）
2409:8720:1900:0625:* 中国铁塔股份有限公司无锡市分公司（滨湖自规局项目）
2409:8720:1900:0626:* 中国铁塔股份有限公司无锡市分公司（滨湖自规局项目）
2409:8720:1900:0627:* 新吴区福广小吃店（个体工商户）
2409:8720:1900:0628:* 江苏中联铝业有限公司
2409:8720:1900:0629:* 无锡市博伟锻造有限公司
2409:8720:1900:062A:* 无锡市优耐特石化装备有限公司
2409:8720:1900:062B:* 无锡宏记团餐配送有限公司
2409:8720:1900:062C:* 新吴区鸿天羊棒骨餐饮店（个体工商户）
2409:8720:1900:062D:* 新吴区呼辣重庆小面馆（个体工商户）
2409:8720:1900:062E:* 河南鼎苑建设有限公司
2409:8720:1900:062F:* 无锡宏源机电科技股份有限公司
2409:8720:1900:0630:* 飞而康快速制造科技有限责任公司
2409:8720:1900:0631:* 无锡融乾置业有限公司
2409:8720:1900:0632:* 招商银行股份有限公司无锡分行
2409:8720:1900:0633:* 无锡市东南泡沫包装制品厂
2409:8720:1900:0634:* 无锡鑫宝瑞机械有限公司
2409:8720:1900:0640:* 无锡市硕放物业管理有限公司（滨湖）
2409:8720:1900:0641:* 新吴区谭煜阳药膳光头鸡店
2409:8720:1900:0642:* 无锡市硕放物业管理有限公司（滨湖）
2409:8720:1900:0643:* 无锡市硕放物业管理有限公司（滨湖）
2409:8720:1900:0644:* 无锡市硕放物业管理有限公司（滨湖）
2409:8720:1900:0645:* 无锡市硕放物业管理有限公司（滨湖）
2409:8720:1900:0700:* 江苏省交通工程集团有限公司（312国道无锡飞凤路至金城东路段改扩建工程施工项目312XW11标段项目经理部）
2409:8720:1900:0701:* 苏州盛丰供应链管理有限公司
2409:8720:1900:0702:* 无锡市硕放建筑安装工程有限公司
2409:8720:1900:0703:* 无锡市硕放物业管理有限公司（滨湖）
2409:8720:1900:0704:* 无锡市硕放物业管理有限公司（滨湖）
2409:8720:1900:0705:* 无锡市硕放物业管理有限公司（滨湖）
2409:8720:1900:0706:* 新吴区蜀井小串餐饮店
2409:8720:1900:0707:* 无锡市长庆物业管理有限公司
2409:8720:1900:0708:* 无锡市硕放物业管理有限公司（滨湖）
2409:8720:1900:0709:* 无锡市硕放物业管理有限公司（滨湖）
2409:8720:1900:070A:* 无锡市硕放物业管理有限公司（滨湖）
2409:8720:1900:070B:* 无锡市硕放物业管理有限公司（滨湖）
2409:8720:1900:070C:* 江苏圣普斯安防科技有限公司
2409:8720:1900:070D:* 新吴区百味阁餐饮店
2409:8720:1900:070E:* 新吴区鲍鲍杉餐饮店
2409:8720:1900:070F:* 无锡吴文化博览园建设发展有限公司
2409:8720:1900:0710:* 江苏锡滚轴承科技有限公司
2409:8720:1900:0711:* 新吴区蒸有意思熟食店
2409:8720:1900:0712:* 无锡创达新材料股份有限公司
2409:8720:1900:0713:* 江苏中电创达建设装备科技有限公司
2409:8720:1900:0714:* 新吴区七山火锅店
2409:8720:1900:0715:* 无锡军工智能电气股份有限公司
2409:8720:1900:0716:* 无锡市创景贸易有限公司
2409:8720:1900:0717:* 汉廷能源科技(无锡)有限公司
2409:8720:1900:0718:* 新吴区徐姥家餐饮店
2409:8720:1900:0719:* 无锡鸿亿金属制品有限公司
2409:8720:1900:071A:* 新吴区斯塔汀汉堡店
2409:8720:1900:071B:* 新吴区黄招成餐饮店
2409:8720:1900:071C:* 新吴区霞中飞小吃店（个体工商户）
2409:8720:1900:071D:* 新吴区翠山鲜悦酒店
2409:8720:1900:071E:* 无锡晶心精密机械有限公司
2409:8720:1900:071F:* 新区渔塘新村酒店
2409:8720:1900:0720:* 新吴区王薇峰奶茶店（个体工商户）
2409:8720:1900:0721:* 新吴区刘赛赛生煎店
2409:8720:1900:0722:* 无锡市创景贸易有限公司
2409:8720:1900:0723:* 新吴区渝信川菜馆
2409:8720:1900:0724:* 新吴区鹅甄牛熟食店（个体工商户）
2409:8720:1900:0725:* 无锡中皓禾创孵化管理有限公司
2409:8720:1900:0726:* 新区硕放从正小吃店
2409:8720:1900:0727:* 新吴区硕成餐饮店
2409:8720:1900:0728:* 新吴区浙彩宴餐饮店
2409:8720:1900:0729:* 新吴区伍哈东北铁锅炖饭店
2409:8720:1900:072A:* 新吴区麦掌柜包子店（个体工商户）
2409:8720:1900:0800:* 江苏省广电有线信息网络股份有限公司无锡分公司（梁溪项目2）
2409:8720:1900:0801:* 无锡市奇天大药房连锁有限公司
2409:8720:1900:0802:* 新吴区小桃子餐饮店
2409:8720:1900:0803:* 新吴区丰百励炸串店
2409:8720:1900:0804:* 新吴区虾来一虾往餐饮店
2409:8720:1900:0805:* 新吴区季景小吃店
2409:8720:1900:0806:* 新吴区能斌石锅拌饭店
2409:8720:1900:0807:* 常州国大和润药房连锁有限公司无锡荣鑫店
2409:8720:1900:0808:* 新吴区百鲜居潮汕粥店
2409:8720:1900:0809:* 江苏移动信息系统集成有限公司（滨湖ICT项目）
2409:8720:1900:080A:* 新吴区自林早餐店
2409:8720:1900:080B:* 江苏江达生态环境科技有限公司
2409:8720:1900:080C:* 新吴区蒋先生饺子馆
2409:8720:1900:080D:* 无锡市凯源家庭用品有限公司
2409:8720:1900:080E:* 新吴区白美茶室
2409:8720:1900:080F:* 无锡震泽博览运营管理有限公司
2409:8720:1900:0810:* 中恒新能源科技（无锡）有限公司
2409:8720:1900:0811:* 中恒新能源科技（无锡）有限公司
